Tem_160,Tem_175,Tem_190,Tem_205,Tem_220
0.32,0.34,0.36,0.36,0.36
0.34,0.51,0.49,0.48,0.77
0.37,0.53,0.57,0.53,0.88
0.38,0.57,0.62,0.58,1.06
0.37,0.54,0.64,0.68,1.13
0.45,0.55,0.71,0.73,1.16
0.45,0.51,0.75,0.8,1.25
0.47,0.57,0.86,0.91,1.51
0.51,0.63,0.95,1.05,1.69
0.51,0.72,1.01,1.21,1.81
0.53,0.79,1.07,1.43,2.26
0.55,0.94,1.18,1.57,2.66
0.55,1.02,1.38,1.63,2.99
0.57,1.05,1.45,1.82,3.37
0.61,1.05,1.53,2,3.77
0.63,1.24,1.89,2.24,4.24
0.72,1.1,2.01,2.47,4.67
0.71,1.22,2.07,2.74,5.11
0.7,1.31,2.33,2.81,5.72
0.72,1.34,2.47,2.96,6.15
0.8,1.51,2.58,3.35,6.68
0.9,1.77,2.77,3.7,7.58
0.94,1.85,3.23,4.02,8.29
1,2.29,3.29,4.17,8.99
1.03,2.55,3.55,4.43,9.61
1.12,2.87,3.87,5.02,9.84
1.17,3.19,4.19,5.4,10.8
1.15,3.43,4.32,5.6,11.18
1.21,3.55,4.46,6.72,11.33
1.23,3.75,4.75,6.63,12.14
1.26,3.59,5.01,7.08,12.83
